combination,model,k_cross_val,max_authors,model_params,accuracy
0,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.7810416666666667
0,k_neighbors,9,800,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8236111111111111
0,k_neighbors,9,150,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.885925925925926
0,k_neighbors,5,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.726625
0,k_neighbors,5,800,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.7670000000000001
0,k_neighbors,5,150,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8626666666666667
0,k_neighbors,2,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.568125
0,k_neighbors,2,800,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.6387499999999999
0,k_neighbors,2,150,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.7433333333333334
0,svm,9,1600,"{'C': 100, 'output_layer': 'output_embedding'}",0.8009722222222223
0,svm,9,800,"{'C': 100, 'output_layer': 'output_embedding'}",0.839861111111111
0,svm,9,150,"{'C': 100, 'output_layer': 'output_embedding'}",0.8977777777777776
0,svm,5,1600,"{'C': 100, 'output_layer': 'output_embedding'}",0.745125
0,svm,5,800,"{'C': 100, 'output_layer': 'output_embedding'}",0.7882499999999999
0,svm,5,150,"{'C': 100, 'output_layer': 'output_embedding'}",0.8640000000000001
0,svm,2,1600,"{'C': 100, 'output_layer': 'output_embedding'}",0.568125
0,svm,2,800,"{'C': 100, 'output_layer': 'output_embedding'}",0.6387499999999999
0,svm,2,150,"{'C': 100, 'output_layer': 'output_embedding'}",0.7433333333333334
1,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8875694444444444
1,k_neighbors,9,800,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.915
1,k_neighbors,9,150,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.9429629629629628
1,k_neighbors,5,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8472500000000001
1,k_neighbors,5,800,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8752500000000001
1,k_neighbors,5,150,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.9146666666666666
1,k_neighbors,2,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.6728125
1,k_neighbors,2,800,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.7275
1,k_neighbors,2,150,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8066666666666666
1,svm,9,1600,"{'C': 100, 'output_layer': 'output_embedding'}",0.8987500000000002
1,svm,9,800,"{'C': 100, 'output_layer': 'output_embedding'}",0.9206944444444444
1,svm,9,150,"{'C': 100, 'output_layer': 'output_embedding'}",0.9459259259259256
1,svm,5,1600,"{'C': 100, 'output_layer': 'output_embedding'}",0.8564999999999999
1,svm,5,800,"{'C': 100, 'output_layer': 'output_embedding'}",0.88425
1,svm,5,150,"{'C': 100, 'output_layer': 'output_embedding'}",0.9053333333333332
1,svm,2,1600,"{'C': 100, 'output_layer': 'output_embedding'}",0.6728125
1,svm,2,800,"{'C': 100, 'output_layer': 'output_embedding'}",0.7275
1,svm,2,150,"{'C': 100, 'output_layer': 'output_embedding'}",0.8066666666666666
2,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.7875694444444444
2,k_neighbors,9,800,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8273611111111109
2,k_neighbors,9,150,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8837037037037038
2,k_neighbors,5,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.736125
2,k_neighbors,5,800,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.7755000000000001
2,k_neighbors,5,150,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8520000000000001
2,k_neighbors,2,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.5803125
2,k_neighbors,2,800,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.638125
2,k_neighbors,2,150,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.7133333333333334
2,svm,9,1600,"{'C': 100, 'output_layer': 'output_embedding'}",0.8090277777777777
2,svm,9,800,"{'C': 100, 'output_layer': 'output_embedding'}",0.8461111111111111
2,svm,9,150,"{'C': 100, 'output_layer': 'output_embedding'}",0.8933333333333332
2,svm,5,1600,"{'C': 100, 'output_layer': 'output_embedding'}",0.756875
2,svm,5,800,"{'C': 100, 'output_layer': 'output_embedding'}",0.7927500000000001
2,svm,5,150,"{'C': 100, 'output_layer': 'output_embedding'}",0.8586666666666668
2,svm,2,1600,"{'C': 100, 'output_layer': 'output_embedding'}",0.5803125
2,svm,2,800,"{'C': 100, 'output_layer': 'output_embedding'}",0.638125
2,svm,2,150,"{'C': 100, 'output_layer': 'output_embedding'}",0.7133333333333334
3,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8093055555555555
3,k_neighbors,9,800,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8500000000000001
3,k_neighbors,9,150,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.908148148148148
3,k_neighbors,5,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.753125
