combination,optimizer,loss,temperature,lr,clip,decay,epochs,batch_size,binary_encoding,max_code_length,embedding_size,BN,input_embedding_size,encoding_type,bias,dropout,l2,max_authors,model,spm_model_file,train_data,val_data,test_data,val_loss,train_loss
0,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,32,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_by_line_cc9995_vs8000.model,encoded_data/c_cpp_h_by_line_cc9995_vs8000_a0.5_l-1_train.h5,encoded_data/c_cpp_h_by_line_cc9995_vs8000_a0.5_l-1_val.h5,encoded_data/c_cpp_h_by_line_cc9995_vs8000_a0.5_l-1_test.h5,3.4389841556549072,3.210313558578491
1,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,32,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_by_line_cc9995_vs1024.model,encoded_data/c_cpp_h_by_line_cc9995_vs1024_a0.5_l-1_train.h5,encoded_data/c_cpp_h_by_line_cc9995_vs1024_a0.5_l-1_val.h5,encoded_data/c_cpp_h_by_line_cc9995_vs1024_a0.5_l-1_test.h5,3.4487366676330566,2.894644021987915
2,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,32,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_by_line_cc9995_vs512.model,encoded_data/c_cpp_h_by_line_cc9995_vs512_a0.5_l-1_train.h5,encoded_data/c_cpp_h_by_line_cc9995_vs512_a0.5_l-1_val.h5,encoded_data/c_cpp_h_by_line_cc9995_vs512_a0.5_l-1_test.h5,3.4078044891357417,3.157872676849365
3,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,32,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_by_line_cc9995_vs256.model,encoded_data/c_cpp_h_by_line_cc9995_vs256_a0.5_l-1_train.h5,encoded_data/c_cpp_h_by_line_cc9995_vs256_a0.5_l-1_val.h5,encoded_data/c_cpp_h_by_line_cc9995_vs256_a0.5_l-1_test.h5,3.452089071273804,3.420457601547241
4,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,32,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_by_line_cc9995_vs128.model,encoded_data/c_cpp_h_by_line_cc9995_vs128_a0.5_l-1_train.h5,encoded_data/c_cpp_h_by_line_cc9995_vs128_a0.5_l-1_val.h5,encoded_data/c_cpp_h_by_line_cc9995_vs128_a0.5_l-1_test.h5,3.38911247253418,2.370788335800171
5,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,32,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_program_cc9995_vs8000.model,encoded_data/c_cpp_h_program_cc9995_vs8000_a0.5_l-1_train.h5,encoded_data/c_cpp_h_program_cc9995_vs8000_a0.5_l-1_val.h5,encoded_data/c_cpp_h_program_cc9995_vs8000_a0.5_l-1_test.h5,3.506169319152832,2.907886505126953
6,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,32,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_program_cc9995_vs1024.model,encoded_data/c_cpp_h_program_cc9995_vs1024_a0.5_l-1_train.h5,encoded_data/c_cpp_h_program_cc9995_vs1024_a0.5_l-1_val.h5,encoded_data/c_cpp_h_program_cc9995_vs1024_a0.5_l-1_test.h5,3.399735927581787,2.261616945266724
7,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,32,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_program_cc9995_vs512.model,encoded_data/c_cpp_h_program_cc9995_vs512_a0.5_l-1_train.h5,encoded_data/c_cpp_h_program_cc9995_vs512_a0.5_l-1_val.h5,encoded_data/c_cpp_h_program_cc9995_vs512_a0.5_l-1_test.h5,3.4454374313354488,3.1587064266204834
8,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,32,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_program_cc9995_vs256.model,encoded_data/c_cpp_h_program_cc9995_vs256_a0.5_l-1_train.h5,encoded_data/c_cpp_h_program_cc9995_vs256_a0.5_l-1_val.h5,encoded_data/c_cpp_h_program_cc9995_vs256_a0.5_l-1_test.h5,3.3240699768066406,2.346808433532715
9,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,32,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_program_cc9995_vs128.model,encoded_data/c_cpp_h_program_cc9995_vs128_a0.5_l-1_train.h5,encoded_data/c_cpp_h_program_cc9995_vs128_a0.5_l-1_val.h5,encoded_data/c_cpp_h_program_cc9995_vs128_a0.5_l-1_test.h5,3.648963451385498,2.9820761680603027
