combination,model,k_cross_val,max_authors,model_params,accuracy
0,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8338194444444444
0,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8338194444444444
1,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8375694444444445
1,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8375694444444445
2,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8374305555555555
2,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8374305555555555
3,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8305555555555555
3,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8305555555555555
4,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8427083333333333
4,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8427083333333333
5,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8315277777777778
5,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8315277777777778
6,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8477083333333333
6,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8477083333333333
7,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8369444444444443
7,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8369444444444443
8,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8506250000000001
