combination,model,k_cross_val,max_authors,model_params,accuracy
0,cosknn,9,150,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.9429629629629628
1,cosknn,9,150,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.945925925925926
2,cosknn,9,150,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.9377777777777776
3,cosknn,9,150,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.9311111111111109
4,cosknn,9,150,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.9466666666666668
5,cosknn,9,150,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.9362962962962962
6,cosknn,9,150,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.9333333333333332
7,cosknn,9,150,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.934074074074074
8,cosknn,9,150,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.9355555555555556
9,cosknn,9,150,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.9355555555555556
10,cosknn,9,150,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.9355555555555556
11,cosknn,9,150,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.9370370370370372
12,cosknn,9,150,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.9362962962962962
13,cosknn,9,150,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.9414814814814814
14,cosknn,9,150,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.9385185185185184
15,cosknn,9,150,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.934074074074074
16,cosknn,9,150,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.9385185185185184
17,cosknn,9,150,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.9392592592592592
0,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8330555555555557
1,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8387499999999999
2,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8395138888888888
3,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8351388888888889
4,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8513888888888888
5,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8490277777777778
6,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8297222222222224
7,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.831111111111111
8,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8204861111111111
9,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8272222222222221
10,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8194444444444444
11,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.834236111111111
12,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8341666666666667
13,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8353472222222221
14,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8322222222222222
15,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8291666666666667
16,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.83375
17,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8361805555555555
