combination,model,k_cross_val,model_params,accuracy
0,svm,5,{'C': 0.05},0.5382414808582247
0,svm,5,{'C': 0.1},0.5382414808582247
0,svm,5,{'C': 1},0.5382414808582247
0,svm,5,{'C': 10},0.5949516196886833
0,svm,5,{'C': 100},0.6635254522507362
0,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'ball_tree', 'weights': 'uniform'}",0.5441312578880944
0,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'ball_tree', 'weights': 'distance'}",0.6331510307109801
0,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'kd_tree', 'weights': 'uniform'}",0.5441312578880944
0,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'kd_tree', 'weights': 'distance'}",0.6331510307109801
0,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'brute', 'weights': 'uniform'}",0.5441312578880944
0,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'brute', 'weights': 'distance'}",0.6331510307109801
1,svm,5,{'C': 0.05},0.4766512410601599
1,svm,5,{'C': 0.1},0.4766512410601599
1,svm,5,{'C': 1},0.4766512410601599
1,svm,5,{'C': 10},0.518216238956668
1,svm,5,{'C': 100},0.6071518721076987
1,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'ball_tree', 'weights': 'uniform'}",0.4944888514934792
1,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'ball_tree', 'weights': 'distance'}",0.579217501051746
1,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'kd_tree', 'weights': 'uniform'}",0.4944888514934792
1,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'kd_tree', 'weights': 'distance'}",0.579217501051746
1,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'brute', 'weights': 'uniform'}",0.4944888514934792
1,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'brute', 'weights': 'distance'}",0.579217501051746
2,svm,5,{'C': 0.05},0.5977282288599074
2,svm,5,{'C': 0.1},0.5977282288599074
2,svm,5,{'C': 1},0.5977282288599074
2,svm,5,{'C': 10},0.6660496424063946
2,svm,5,{'C': 100},0.7169541438788388
2,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'ball_tree', 'weights': 'uniform'}",0.5648296171644931
2,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'ball_tree', 'weights': 'distance'}",0.6530079932688262
2,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'kd_tree', 'weights': 'uniform'}",0.5649137568363483
2,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'kd_tree', 'weights': 'distance'}",0.6530921329406815
2,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'brute', 'weights': 'uniform'}",0.5648296171644931
2,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'brute', 'weights': 'distance'}",0.6530079932688262
3,svm,5,{'C': 0.05},0.5574253260412284
3,svm,5,{'C': 0.1},0.5574253260412284
3,svm,5,{'C': 1},0.5604543542280186
3,svm,5,{'C': 10},0.6722759781236853
3,svm,5,{'C': 100},0.6694993689524611
3,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'ball_tree', 'weights': 'uniform'}",0.5394194362641985
3,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'ball_tree', 'weights': 'distance'}",0.6187631468237274
3,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'kd_tree', 'weights': 'uniform'}",0.5394194362641985
3,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'kd_tree', 'weights': 'distance'}",0.6187631468237274
3,k_neighbors,5,"{'n_jobs': -1, 'algorithm': 'brute', 'weights': 'uniform'}",0.5394194362641985
