combination,optimizer,loss,temperature,lr,decay,epochs,batch_size,binary_encoding,max_code_length,embedding_size,BN,model,train_data,val_data,test_data,val_loss,train_loss
0,adam,simclr,0.005,0.0001,2.5e-06,10,32,False,1200,128,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_train.h5,c_cpp_h_train.h5,0.1833278834819793,0.1900254637002945
1,adam,simclr,0.005,0.0001,2.5e-06,20,128,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_train.h5,c_cpp_h_train.h5,0.20631766319274905,0.2262255698442459
3,adam,simclr,0.005,0.0001,2.5e-06,20,512,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_train.h5,c_cpp_h_train.h5,0.5295675396919249,0.592522919178009
4,adam,simclr,0.005,0.0001,2.5e-06,20,1024,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_train.h5,c_cpp_h_train.h5,0.8838600516319275,0.9640511274337769
5,adam,simclr,0.1,0.0001,2.5e-06,20,32,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_train.h5,c_cpp_h_train.h5,0.14681054651737213,0.15121658146381378
6,adam,simclr,0.1,0.0001,2.5e-06,20,128,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_train.h5,c_cpp_h_train.h5,0.3919075131416321,0.3980733156204224
7,adam,simclr,0.1,0.0001,2.5e-06,20,256,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_train.h5,c_cpp_h_train.h5,0.6374408602714539,0.6538319587707521
8,adam,simclr,0.1,0.0001,2.5e-06,20,512,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_train.h5,c_cpp_h_train.h5,1.0334204435348509,1.0725772380828855
9,adam,simclr,0.1,0.0001,2.5e-06,20,1024,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_train.h5,c_cpp_h_train.h5,1.6541978120803833,1.6837531328201294
10,adam,simclr,0.5,0.0001,2.5e-06,20,32,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_train.h5,c_cpp_h_train.h5,2.4636001586914062,2.4692375659942627
11,adam,simclr,0.5,0.0001,2.5e-06,20,128,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_train.h5,c_cpp_h_train.h5,3.8264157772064213,3.8278329372406006
12,adam,simclr,0.5,0.0001,2.5e-06,20,256,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_train.h5,c_cpp_h_train.h5,4.5408968925476065,4.542933940887451
13,adam,simclr,0.5,0.0001,2.5e-06,20,512,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_train.h5,c_cpp_h_train.h5,5.264349460601807,5.267116069793701
14,adam,simclr,0.5,0.0001,2.5e-06,20,1024,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_train.h5,c_cpp_h_train.h5,6.001132488250732,6.001615524291992
15,adam,simclr,1.0,0.0001,2.5e-06,20,32,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_train.h5,c_cpp_h_train.h5,3.271022081375122,3.2722589969635014
16,adam,simclr,1.0,0.0001,2.5e-06,20,128,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_train.h5,c_cpp_h_train.h5,4.666771411895752,4.670104503631592
17,adam,simclr,1.0,0.0001,2.5e-06,20,256,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_train.h5,c_cpp_h_train.h5,5.367020130157472,5.3689494132995605
18,adam,simclr,1.0,0.0001,2.5e-06,20,512,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_train.h5,c_cpp_h_train.h5,6.10784387588501,6.112724781036378
19,adam,simclr,1.0,0.0001,2.5e-06,20,1024,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_train.h5,c_cpp_h_train.h5,6.792364597320557,6.797197341918945
