combination,optimizer,loss,temperature,lr,decay,epochs,batch_size,binary_encoding,max_code_length,embedding_size,BN,model,train_data,val_data,test_data,val_loss,train_loss
0,adam,simclr,0.005,1.0,2.5e-06,10,128,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_val.h5,c_cpp_h_test.h5,5.541260242462158,5.543457984924316
1,adam,simclr,0.005,1.0,2.5e-06,10,256,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_val.h5,c_cpp_h_test.h5,6.236369609832764,6.241078853607178
2,adam,simclr,0.005,1.0,2.5e-06,10,512,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_val.h5,c_cpp_h_test.h5,6.930486679077148,6.942982196807861
3,adam,simclr,0.005,1.0,2.5e-06,10,1024,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_val.h5,c_cpp_h_test.h5,7.624135494232178,7.637424945831299
4,adam,simclr,0.005,0.1,2.5e-06,10,128,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_val.h5,c_cpp_h_test.h5,5.541260242462158,13.491653442382812
5,adam,simclr,0.005,0.1,2.5e-06,10,256,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_val.h5,c_cpp_h_test.h5,6.236369609832764,6.010950088500977
6,adam,simclr,0.005,0.1,2.5e-06,10,512,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_val.h5,c_cpp_h_test.h5,10.985494613647461,16.68402671813965
7,adam,simclr,0.005,0.1,2.5e-06,10,1024,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_val.h5,c_cpp_h_test.h5,3.893556594848633,4.257774353027344
8,adam,simclr,0.005,0.01,2.5e-06,10,128,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_val.h5,c_cpp_h_test.h5,1.9193328619003296,1.5157467126846313
9,adam,simclr,0.005,0.01,2.5e-06,10,256,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_val.h5,c_cpp_h_test.h5,2.1685874462127686,1.5938670635223389
10,adam,simclr,0.005,0.01,2.5e-06,10,512,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_val.h5,c_cpp_h_test.h5,2.602753162384033,2.2903997898101807
11,adam,simclr,0.005,0.01,2.5e-06,10,1024,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_val.h5,c_cpp_h_test.h5,2.8964614868164062,2.4134364128112793
12,adam,simclr,0.005,0.001,2.5e-06,10,128,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_val.h5,c_cpp_h_test.h5,1.8126722574234009,1.5708016157150269
13,adam,simclr,0.005,0.001,2.5e-06,10,256,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_val.h5,c_cpp_h_test.h5,2.125823736190796,1.5082981586456299
14,adam,simclr,0.005,0.001,2.5e-06,10,512,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_val.h5,c_cpp_h_test.h5,2.5970449447631836,2.042121171951294
15,adam,simclr,0.005,0.001,2.5e-06,10,1024,False,1200,256,False,contrastive_cnn,c_cpp_h_train.h5,c_cpp_h_val.h5,c_cpp_h_test.h5,2.943258047103882,2.2640540599823
