combination,model,k_cross_val,max_authors,model_params,accuracy
0,k_neighbors,9,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.7138073839104767
0,k_neighbors,9,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 4}",0.7263194995153759
0,k_neighbors,9,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1}",0.7355714159837872
0,k_neighbors,7,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.6908349382576188
0,k_neighbors,7,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 4}",0.7011442166081342
0,k_neighbors,7,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1}",0.7183641101166874
0,k_neighbors,5,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.6375892149088025
0,k_neighbors,5,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 4}",0.6477398889770023
0,k_neighbors,5,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1}",0.6705789056304521
0,k_neighbors,2,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.12450436161776368
0,k_neighbors,2,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 4}",0.1534496431403648
0,k_neighbors,2,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1}",0.34179222839016654
1,k_neighbors,9,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.6707416462917686
1,k_neighbors,9,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 4}",0.6734582993751698
1,k_neighbors,9,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1}",0.6807932627003531
1,k_neighbors,7,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.5786924939467312
1,k_neighbors,7,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 4}",0.5905569007263922
1,k_neighbors,7,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1}",0.6038740920096853
1,k_neighbors,5,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.4985571587125416
1,k_neighbors,5,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 4}",0.5092119866814651
1,k_neighbors,5,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1}",0.5402885682574917
1,k_neighbors,2,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.10269627279936558
1,k_neighbors,2,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 4}",0.12172878667724028
1,k_neighbors,2,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1}",0.25773195876288657
2,k_neighbors,9,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.5250074872716382
2,k_neighbors,9,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 4}",0.5339922132374961
2,k_neighbors,9,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1}",0.5537586103623839
2,k_neighbors,7,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.48820818650040654
2,k_neighbors,7,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 4}",0.5036595283274601
2,k_neighbors,7,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1}",0.5204662510165357
2,k_neighbors,5,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.406092715231788
2,k_neighbors,5,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 4}",0.41245033112582774
2,k_neighbors,5,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1}",0.4360264900662251
2,k_neighbors,2,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 5}",0.10190325138778747
2,k_neighbors,2,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 4}",0.11934972244250594
2,k_neighbors,2,1261,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1}",0.2470261697065821
